                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.437,                 1.2083,                 1.5055,                 0.6503,                0.38403,                0.34219,                0.20616,                 1.4221,                 1.2348,                  1.638,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.4061,                 1.1427,                 1.4635,                0.70294,                0.47324,                0.38133,                0.23741,                 1.4289,                 1.1449,                 1.6742,             0.00049529,             0.00049529,             0.00049529
                     36,                  1.422,                 1.1893,                  1.493,                 0.6817,                0.44891,                0.37517,                0.23388,                 1.3898,                 1.2391,                  1.603,               0.000467,               0.000467,               0.000467
                     37,                 1.3916,                 1.1097,                   1.45,                0.70349,                0.43823,                0.41612,                0.27003,                 1.3744,                 1.1907,                  1.591,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3998,                 1.1494,                 1.4753,                0.68417,                0.51068,                0.40249,                0.25671,                 1.3551,                 1.2374,                 1.5745,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.4075,                 1.1142,                 1.4774,                0.68113,                0.46896,                0.38754,                0.23461,                 1.3886,                 1.1446,                 1.5969,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.4386,                 1.1564,                 1.4913,                0.70831,                0.44832,                0.45364,                0.29047,                 1.3516,                 1.1708,                 1.5447,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.3717,                 1.0799,                 1.4842,                0.74604,                0.47324,                0.47096,                0.30902,                 1.3863,                 1.1231,                  1.625,             0.00032553,             0.00032553,             0.00032553
                     42,                  1.331,                 1.0282,                 1.4802,                0.74166,                0.43111,                0.41043,                0.26607,                 1.4352,                  1.182,                 1.6181,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.3344,                 1.0325,                 1.4729,                0.73368,                0.43107,                0.40792,                0.25974,                 1.4089,                 1.1809,                 1.5989,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.3545,                 1.0493,                 1.4771,                 0.7064,                0.41727,                 0.4841,                0.29965,                  1.442,                 1.1851,                  1.601,             0.00024064,             0.00024064,             0.00024064
                     45,                  1.316,                  1.018,                 1.4313,                0.78979,                0.45864,                0.47028,                0.27908,                 1.4645,                 1.1265,                 1.6739,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2549,                 0.9437,                 1.4067,                0.72658,                0.51549,                0.45706,                0.29903,                 1.3884,                 1.1535,                 1.5861,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.2833,                0.92242,                 1.4165,                0.77071,                0.48682,                0.47459,                0.30591,                 1.3955,                 1.1309,                 1.6079,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.2748,                0.93063,                 1.4169,                0.76583,                0.50834,                0.49169,                0.31659,                 1.4213,                 1.1499,                 1.6168,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.2484,                0.89994,                 1.4109,                0.78251,                0.50933,                 0.4792,                0.31432,                 1.4124,                 1.1338,                 1.6343,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.2292,                0.90248,                 1.3928,                 0.7654,                0.48406,                0.47134,                0.29543,                 1.4079,                   1.14,                 1.6357,             7.0878e-05,             7.0878e-05,             7.0878e-05
