                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4056,                 1.1034,                 1.4124,                0.71907,                0.46112,                0.52375,                0.27572,                 1.5592,                 1.0445,                 1.5678,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.3852,                  1.097,                 1.4073,                0.55896,                0.70595,                0.60291,                 0.3236,                 1.5676,                 1.0708,                 1.5916,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.3634,                 1.0974,                 1.3934,                0.62155,                0.52478,                0.56623,                0.28169,                 1.5369,                 1.0381,                 1.5435,               0.000467,               0.000467,               0.000467
                     37,                  1.353,                 1.0527,                 1.3764,                 0.7648,                 0.4216,                0.44932,                0.24842,                 1.5199,                 1.0162,                 1.5207,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3421,                 1.0543,                 1.3681,                0.65252,                 0.6458,                0.58886,                0.30444,                 1.5025,                0.99515,                 1.5319,             0.00041041,             0.00041041,             0.00041041
                     39,                   1.35,                 1.0466,                 1.3725,                0.75132,                0.43052,                0.51565,                0.26323,                  1.544,                 1.0444,                  1.575,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.3341,                  1.018,                 1.3755,                0.75352,                0.43094,                0.51489,                0.26189,                 1.5265,                 1.0254,                 1.5561,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.3193,                0.95178,                 1.4022,                0.68912,                0.55492,                0.57603,                0.29433,                 1.5173,                0.99996,                 1.5299,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.3122,                0.94944,                 1.3839,                0.50458,                 0.6873,                 0.5857,                0.29607,                 1.5672,                 1.0021,                 1.5938,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.2617,                 0.9273,                 1.3553,                0.57464,                  0.684,                0.62241,                0.34212,                 1.5045,                 1.0008,                 1.5318,             0.00026894,             0.00026894,             0.00026894
                     44,                  1.255,                0.90464,                 1.3481,                0.54158,                0.66004,                0.60036,                0.31957,                  1.512,                0.97655,                 1.5289,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2222,                0.87843,                 1.3281,                0.56545,                0.53148,                0.49499,                0.27571,                 1.5081,                 1.0141,                 1.5266,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2002,                 0.8631,                 1.3115,                0.64021,                0.56479,                0.58851,                0.33043,                 1.4957,                0.95242,                 1.5194,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1974,                0.85142,                 1.3189,                0.65299,                0.53753,                0.60351,                0.32679,                 1.5054,                0.96481,                 1.5202,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.1656,                 0.8131,                 1.2983,                0.53858,                0.67536,                0.62489,                0.33771,                 1.5001,                0.96049,                 1.5392,             0.00012747,             0.00012747,             0.00012747
                     49,                  1.182,                 0.8125,                 1.2926,                0.56871,                 0.6275,                0.62399,                0.35544,                 1.4978,                0.95022,                 1.5337,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.1586,                0.79367,                  1.283,                0.55706,                0.72888,                0.64036,                0.35239,                 1.4851,                0.94355,                 1.5232,             7.0878e-05,             7.0878e-05,             7.0878e-05
